game_id,game_date,season,team_id,team_abbr,matchup,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,steals,blocks,turnovers,plus_minus,is_home,opponent_abbr,win
0022200528,2022-12-29,2022-23,1610612742,DAL,DAL vs. HOU,W,129,0.516,0.68,0.4,30,44,7,8,8,15.0,1,HOU,1
0022200527,2022-12-29,2022-23,1610612752,NYK,NYK @ SAS,L,115,0.422,0.774,0.366,20,38,7,2,12,-7.0,0,SAS,0
0022200523,2022-12-29,2022-23,1610612760,OKC,OKC @ CHA,L,113,0.424,0.857,0.306,15,41,9,1,12,-8.0,0,CHA,0
0022200525,2022-12-29,2022-23,1610612738,BOS,BOS vs. LAC,W,116,0.484,0.773,0.282,22,49,3,7,11,6.0,1,LAC,1
0022200524,2022-12-29,2022-23,1610612739,CLE,CLE @ IND,L,126,0.521,0.7,0.429,29,44,7,4,10,-9.0,0,IND,0
0022200518,2022-12-28,2022-23,1610612748,MIA,MIA vs. LAL,W,112,0.478,0.813,0.314,20,37,14,4,5,14.0,1,LAL,1
0022200519,2022-12-28,2022-23,1610612749,MIL,MIL @ CHI,L,113,0.373,0.688,0.205,18,61,7,6,14,-6.0,0,CHI,0
0022200516,2022-12-28,2022-23,1610612756,PHX,PHX @ WAS,L,102,0.448,0.688,0.419,25,30,7,4,11,-25.0,0,WAS,0
0022200522,2022-12-28,2022-23,1610612743,DEN,DEN @ SAC,L,126,0.576,0.889,0.444,31,34,6,8,16,-1.0,0,SAC,0
0022200520,2022-12-28,2022-23,1610612750,MIN,MIN @ NOP,L,118,0.506,0.75,0.345,18,35,6,8,11,-1.0,0,NOP,0
0022200512,2022-12-27,2022-23,1610612752,NYK,NYK @ DAL,L,121,0.437,0.625,0.32,27,55,5,0,9,-5.0,0,DAL,0
0022200510,2022-12-27,2022-23,1610612756,PHX,PHX @ MEM,W,125,0.494,0.88,0.548,26,47,7,9,19,17.0,0,MEM,1
0022200514,2022-12-27,2022-23,1610612743,DEN,DEN @ SAC,W,113,0.477,0.857,0.351,34,40,12,3,13,7.0,0,SAC,1
0022200507,2022-12-27,2022-23,1610612738,BOS,BOS vs. HOU,W,126,0.473,0.87,0.357,32,49,8,5,10,24.0,1,HOU,1
0022200512,2022-12-27,2022-23,1610612742,DAL,DAL vs. NYK,W,126,0.489,0.758,0.283,20,47,4,5,9,5.0,1,NYK,1
0022200511,2022-12-27,2022-23,1610612760,OKC,OKC vs. SAS,W,130,0.535,0.806,0.542,25,45,10,10,12,16.0,1,SAS,1
0022200498,2022-12-26,2022-23,1610612739,CLE,CLE vs. BKN,L,117,0.476,0.867,0.361,21,33,8,3,12,-8.0,1,BKN,0
0022200500,2022-12-26,2022-23,1610612750,MIN,MIN @ MIA,L,110,0.544,0.643,0.441,31,44,4,3,22,-3.0,0,MIA,0
0022200500,2022-12-26,2022-23,1610612748,MIA,MIA vs. MIN,W,113,0.461,0.75,0.265,27,40,9,3,9,3.0,1,MIN,1
0022200494,2022-12-25,2022-23,1610612742,DAL,DAL vs. LAL,W,124,0.524,0.72,0.409,31,38,6,3,11,9.0,1,LAL,1
0022200495,2022-12-25,2022-23,1610612738,BOS,BOS vs. MIL,W,139,0.588,0.8,0.487,29,35,9,1,11,21.0,1,MIL,1
0022200493,2022-12-25,2022-23,1610612752,NYK,NYK vs. PHI,L,112,0.478,0.824,0.375,30,46,4,6,8,-7.0,1,PHI,0
0022200495,2022-12-25,2022-23,1610612749,MIL,MIL @ BOS,L,118,0.5,0.778,0.361,22,39,8,1,15,-21.0,0,BOS,0
0022200497,2022-12-25,2022-23,1610612756,PHX,PHX @ DEN,L,125,0.479,0.692,0.486,32,46,7,9,13,-3.0,0,DEN,0
0022200497,2022-12-25,2022-23,1610612743,DEN,DEN vs. PHX,W,128,0.479,0.735,0.361,29,48,8,4,12,3.0,1,PHX,1
0022200485,2022-12-23,2022-23,1610612752,NYK,NYK vs. CHI,L,117,0.5,0.577,0.457,23,47,2,4,10,-1.0,1,CHI,0
0022200489,2022-12-23,2022-23,1610612743,DEN,DEN vs. POR,W,120,0.58,0.615,0.476,31,38,9,2,10,13.0,1,POR,1
0022200487,2022-12-23,2022-23,1610612742,DAL,DAL @ HOU,W,112,0.45,0.889,0.364,20,34,10,7,14,6.0,0,HOU,1
0022200482,2022-12-23,2022-23,1610612738,BOS,BOS vs. MIN,W,121,0.44,0.769,0.283,28,53,9,6,11,12.0,1,MIN,1
0022200490,2022-12-23,2022-23,1610612756,PHX,PHX vs. MEM,L,100,0.437,0.577,0.257,23,35,6,5,14,-25.0,1,MEM,0
0022200486,2022-12-23,2022-23,1610612748,MIA,MIA vs. IND,L,108,0.432,0.929,0.394,23,38,7,3,10,-3.0,1,IND,0
0022200488,2022-12-23,2022-23,1610612760,OKC,OKC vs. NOP,L,125,0.461,0.72,0.371,27,47,9,5,18,-3.0,1,NOP,0
0022200484,2022-12-23,2022-23,1610612739,CLE,CLE vs. TOR,L,107,0.513,0.6,0.333,27,35,9,4,14,-11.0,1,TOR,0
0022200482,2022-12-23,2022-23,1610612750,MIN,MIN @ BOS,L,109,0.484,0.733,0.313,25,45,3,8,16,-12.0,0,BOS,0
0022200483,2022-12-23,2022-23,1610612749,MIL,MIL @ BKN,L,100,0.44,0.773,0.243,17,45,7,1,18,-18.0,0,BKN,0
0022200466,2022-12-21,2022-23,1610612739,CLE,CLE vs. MIL,W,114,0.482,0.786,0.313,22,37,8,3,10,8.0,1,MIL,1
0022200473,2022-12-21,2022-23,1610612750,MIN,MIN vs. DAL,L,99,0.494,0.7,0.267,23,39,7,4,13,-5.0,1,DAL,0
0022200473,2022-12-21,2022-23,1610612742,DAL,DAL @ MIN,W,104,0.453,0.852,0.333,17,39,6,3,13,5.0,0,MIN,1
0022200469,2022-12-21,2022-23,1610612738,BOS,BOS vs. IND,L,112,0.386,0.84,0.317,26,62,11,5,16,-5.0,1,IND,0
0022200471,2022-12-21,2022-23,1610612752,NYK,NYK vs. TOR,L,106,0.553,0.611,0.423,25,38,2,3,16,-7.0,1,TOR,0
0022200466,2022-12-21,2022-23,1610612749,MIL,MIL @ CLE,L,106,0.47,0.682,0.433,20,46,7,5,19,-8.0,0,CLE,0
0022200474,2022-12-21,2022-23,1610612760,OKC,OKC vs. POR,W,101,0.468,0.84,0.333,19,37,9,3,18,3.0,1,POR,1
