game_id,game_date,season,matchup,team_id,team_abbr,team_name,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,turnovers,is_home,opponent_abbr
0022400572,2025-01-16,2023-24,IND @ DET,1610612754,IND,Indiana Pacers,W,111,0.461,0.727,0.433,28,40,9,0,DET
0022400573,2025-01-16,2023-24,WAS vs. PHX,1610612764,WAS,Washington Wizards,L,123,0.5,0.667,0.317,28,45,13,1,PHX
0022400575,2025-01-16,2023-24,LAC @ POR,1610612746,LAC,LA Clippers,W,118,0.564,0.741,0.435,23,50,15,0,POR
0022400572,2025-01-16,2023-24,DET vs. IND,1610612765,DET,Detroit Pistons,L,100,0.396,0.864,0.25,22,55,19,1,IND
0022400576,2025-01-16,2023-24,HOU @ SAC,1610612745,HOU,Houston Rockets,L,127,0.527,0.708,0.364,24,46,14,0,SAC
0022400573,2025-01-16,2023-24,PHX @ WAS,1610612756,PHX,Phoenix Suns,W,130,0.518,0.839,0.485,33,47,16,0,WAS
0022400575,2025-01-16,2023-24,POR vs. LAC,1610612757,POR,Portland Trail Blazers,L,89,0.374,0.923,0.265,24,37,16,1,LAC
0022400574,2025-01-16,2023-24,OKC vs. CLE,1610612760,OKC,Oklahoma City Thunder,W,134,0.505,0.909,0.34,25,39,6,1,CLE
0022400576,2025-01-16,2023-24,SAC vs. HOU,1610612758,SAC,Sacramento Kings,W,132,0.5,0.909,0.424,32,44,12,1,HOU
0022400570,2025-01-15,2023-24,MIA @ LAL,1610612748,MIA,Miami Heat,L,108,0.534,0.933,0.444,25,37,19,0,LAL
0022400566,2025-01-15,2023-24,NOP vs. DAL,1610612740,NOP,New Orleans Pelicans,W,119,0.443,0.833,0.333,24,49,10,1,DAL
0022400566,2025-01-15,2023-24,DAL @ NOP,1610612742,DAL,Dallas Mavericks,L,116,0.478,0.72,0.343,27,45,15,0,NOP
0022400571,2025-01-15,2023-24,LAC vs. BKN,1610612746,LAC,LA Clippers,W,126,0.544,0.933,0.375,26,46,14,1,BKN
0022400562,2025-01-15,2023-24,BOS @ TOR,1610612738,BOS,Boston Celtics,L,97,0.396,0.5,0.348,24,45,9,0,TOR
0022400569,2025-01-15,2023-24,UTA vs. CHA,1610612762,UTA,Utah Jazz,L,112,0.462,0.588,0.372,30,36,10,1,CHA
0022400569,2025-01-15,2023-24,CHA @ UTA,1610612766,CHA,Charlotte Hornets,W,117,0.529,0.714,0.308,27,45,18,0,UTA
0022400571,2025-01-15,2023-24,BKN @ LAC,1610612751,BKN,Brooklyn Nets,L,67,0.301,0.545,0.179,15,39,20,0,LAC
0022400567,2025-01-15,2023-24,SAS vs. MEM,1610612759,SAS,San Antonio Spurs,L,115,0.449,0.704,0.372,22,44,11,1,MEM
0022400568,2025-01-15,2023-24,HOU @ DEN,1610612745,HOU,Houston Rockets,W,128,0.521,0.765,0.447,28,40,8,0,DEN
0022400567,2025-01-15,2023-24,MEM @ SAS,1610612763,MEM,Memphis Grizzlies,W,129,0.495,0.647,0.421,28,52,8,0,SAS
0022400564,2025-01-15,2023-24,MIL vs. ORL,1610612749,MIL,Milwaukee Bucks,W,122,0.625,0.714,0.583,24,49,21,1,ORL
0022400563,2025-01-15,2023-24,ATL @ CHI,1610612737,ATL,Atlanta Hawks,W,110,0.41,0.682,0.302,28,51,9,0,CHI
0022400561,2025-01-15,2023-24,PHI vs. NYK,1610612755,PHI,Philadelphia 76ers,L,119,0.5,1.0,0.371,27,35,12,1,NYK
0022400562,2025-01-15,2023-24,TOR vs. BOS,1610612761,TOR,Toronto Raptors,W,110,0.506,0.6,0.324,35,56,10,1,BOS
0022400565,2025-01-15,2023-24,GSW @ MIN,1610612744,GSW,Golden State Warriors,W,116,0.488,0.857,0.5,26,45,12,0,MIN
0022400568,2025-01-15,2023-24,DEN vs. HOU,1610612743,DEN,Denver Nuggets,L,108,0.533,0.667,0.483,22,36,18,1,HOU
0022400564,2025-01-15,2023-24,ORL @ MIL,1610612753,ORL,Orlando Magic,L,93,0.347,0.714,0.261,24,32,13,0,MIL
0022400570,2025-01-15,2023-24,LAL vs. MIA,1610612747,LAL,Los Angeles Lakers,W,117,0.522,0.714,0.382,33,34,6,1,MIA
0022400563,2025-01-15,2023-24,CHI vs. ATL,1610612741,CHI,Chicago Bulls,L,94,0.443,1.0,0.222,23,53,20,1,ATL
0022400565,2025-01-15,2023-24,MIN vs. GSW,1610612750,MIN,Minnesota Timberwolves,L,115,0.442,0.759,0.459,21,41,9,1,GSW
0022400561,2025-01-15,2023-24,NYK @ PHI,1610612752,NYK,New York Knicks,W,125,0.535,0.708,0.432,28,45,13,0,PHI
0022400560,2025-01-14,2023-24,BKN @ POR,1610612751,BKN,Brooklyn Nets,W,132,0.544,0.833,0.463,36,44,11,0,POR
0022400557,2025-01-14,2023-24,CHI vs. NOP,1610612741,CHI,Chicago Bulls,L,113,0.441,0.75,0.326,31,57,15,1,NOP
0022400558,2025-01-14,2023-24,MIL vs. SAC,1610612749,MIL,Milwaukee Bucks,W,130,0.495,0.833,0.378,32,52,7,1,SAC
0022400555,2025-01-14,2023-24,PHI vs. OKC,1610612755,PHI,Philadelphia 76ers,L,102,0.44,0.75,0.295,23,35,21,1,OKC
0022400556,2025-01-14,2023-24,ATL vs. PHX,1610612737,ATL,Atlanta Hawks,W,122,0.439,0.731,0.415,22,54,12,1,PHX
0022400556,2025-01-14,2023-24,PHX @ ATL,1610612756,PHX,Phoenix Suns,L,117,0.512,0.667,0.371,28,37,13,0,ATL
0022400555,2025-01-14,2023-24,OKC @ PHI,1610612760,OKC,Oklahoma City Thunder,W,118,0.556,0.889,0.333,32,38,17,0,PHI
0022400558,2025-01-14,2023-24,SAC @ MIL,1610612758,SAC,Sacramento Kings,L,115,0.442,0.778,0.405,25,45,9,0,MIL
0022400554,2025-01-14,2023-24,CLE @ IND,1610612739,CLE,Cleveland Cavaliers,W,127,0.483,0.839,0.341,25,49,14,0,IND
0022400559,2025-01-14,2023-24,DEN @ DAL,1610612743,DEN,Denver Nuggets,W,118,0.518,0.864,0.448,28,51,18,0,DAL
0022400554,2025-01-14,2023-24,IND vs. CLE,1610612754,IND,Indiana Pacers,L,117,0.484,0.773,0.429,30,37,11,1,CLE
0022400559,2025-01-14,2023-24,DAL vs. DEN,1610612742,DAL,Dallas Mavericks,L,99,0.422,0.636,0.281,27,30,12,1,DEN
0022400560,2025-01-14,2023-24,POR vs. BKN,1610612757,POR,Portland Trail Blazers,L,114,0.453,0.792,0.447,20,38,17,1,BKN
0022400557,2025-01-14,2023-24,NOP @ CHI,1610612740,NOP,New Orleans Pelicans,W,119,0.438,0.808,0.28,32,46,10,0,CHI
0022400552,2025-01-13,2023-24,LAL vs. SAS,1610612747,LAL,Los Angeles Lakers,L,102,0.448,0.625,0.318,24,40,19,1,SAS
0022400549,2025-01-13,2023-24,NYK vs. DET,1610612752,NYK,New York Knicks,L,119,0.5,0.828,0.405,26,42,17,1,DET
0022400549,2025-01-13,2023-24,DET @ NYK,1610612765,DET,Detroit Pistons,W,124,0.5,0.944,0.441,20,39,11,0,NYK
0022400550,2025-01-13,2023-24,TOR vs. GSW,1610612761,TOR,Toronto Raptors,W,104,0.477,0.667,0.414,28,44,14,1,GSW
0022400551,2025-01-13,2023-24,HOU vs. MEM,1610612745,HOU,Houston Rockets,W,120,0.506,0.71,0.516,28,40,22,1,MEM
0022400548,2025-01-13,2023-24,WAS vs. MIN,1610612764,WAS,Washington Wizards,L,106,0.44,0.6,0.425,27,34,11,1,MIN
